,permalink,name,desc,category_code
565,nuron-biotech,Nuron Biotech,Nuron Biotech develops vaccines and specialty biologics for the prevention and treatment of infectious and neurodegenerative diseases.,biotech
566,therative,Therative,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",biotech
567,jb-therapeutics,JB Therapeutics,JB Therapeutics is a clinical-stage biopharmaceutical company developing innovative therapies for orphan inflammatory diseases.,biotech
568,vivakor,Vivakor,Vivakor is a biomedical company that focuses on the R&D of a range of medical devices and pharmaceuticals to improve human health.,biotech
569,fluxion-biosciences,Fluxion Biosciences,Fluxion Biosciences is engaged in the research and development of cellular analysis tools and drug discovery applications.,biotech
570,vivebio,Vivebio,Vivebio is a biotechnology company offering biological specimen storage and transportation systems.,biotech
571,agradis,Agradis,Agradis is a biotechnology company developing solutions for improving the sustainability and efficiency of crop production agriculture.,biotech
572,pervasis-therapeutics,Pervasis Therapeutics,Pervasis Therapeutics is a clinical stage company offering a broad portfolio of biologically active therapeutics.,biotech
573,vertical-health-solutions,Vertical Health Solutions,Vertical Health Solutions develops MRI quality assurance software technologies to hospitals and imaging centers in the U.S.,biotech
574,vital-sensors,Vital Sensors,"Vital Sensors, a medical device company, develops a remote cardiac sensor for congestive heart failure patients.",biotech
575,imagen-biotech,Imagen Biotech,Imagen Biotech is focused on identifying and developing therapeutics for blinding diseases.,biotech
576,montage-healthcare-solutions,Montage Healthcare Solutions,Montage Healthcare Solutions offers software solutions for data mining and performance measurement activities in the radiology sector.,biotech
577,acylin-therapeutics,Acylin Therapeutics,Acylin Therapeutics operates in the pharmaceutical and drug manufacturing industry developing inhibitors of cellular acetylation.,biotech
578,maya-medical,Maya Medical,Maya Medical develops a percutaneous catheter for the treatment of patients who are unable to control blood pressure.,biotech
579,nanorete,nanoRETE,"nanoRETE develops field-operable, nanoparticle-based biosensors for the real-time detection of pathogens and toxins.",biotech
580,sensigen,SensiGen,SensiGen is a biotechnology company focused on gene-based molecular diagnostics.,biotech
581,arteaus-therapeutics,Arteaus Therapeutics,Arteaus Therapeutics is a biotechnology development company focused on creating new therapies to treat migraine.,biotech
582,epiomed-therapeutics,EPIOMED THERAPEUTICS,Epiomed Therapeutics is focused on the discovery and development of novel anti-emetic compounds for both the human and veterinary markets.,biotech
583,bioformix,Bioformix,Sirrus develops innovative monomer platforms,biotech
584,phthisis-diagnostics,Phthisis Diagnostics,Phthisis Diagnostics is a molecular diagnostics company developing products for various infectious diseases.,biotech
585,vitapath-genetics,VitaPath Genetics,VitaPath Genetics develops DNA tests to help individuals reduce the risk of serious and life-threatening diseases.,biotech
586,arno-therapeutics,Arno Therapeutics,Arno Therapeutics is a biopharmaceutical company developing innovative products for the treatment of cancer patients.,biotech
587,visiongate,VisionGate,VisionGate offers an automated 3D cell imaging platform that saves lives through early cancer detection and prevention.,biotech
588,aciex-therapeutics,Aciex Therapeutics,Aciex is a biotech company developing products to fill unmet needs for ophthalmic therapeutics in order to build an ophthalmic franchise.,biotech
589,salgomed,salgomed,Salgomed is a research platform developing multi-drug therapies for complex diseases.,biotech
590,somark-innovations,SOMARK Innovations,SOMARK Innovations develops chipless radio frequency identification tattoos for animal and non-animal applications.,biotech
591,scribes-stat,Scribes Stat,Scribes Stat delivers real-time electronic medical records and offers technical assistance during EMR implementations for physicians.,biotech
592,vlst-corporation,VLST Corporation,VLST Corporation is developing a novel approach to speed the development of therapeutics to treat inflammatory and autoimmune diseases.,biotech
593,genus-oncology,Genus Oncology,Genus Oncology discovers and commercializes new anti-cancer agents that target the Mucin 1 oncoprotein.,biotech
594,softlanding-labs,Softlanding Labs,Soft Landing Labs is a high-complexity toxicology laboratory that focuses on the quantification of drugs and biological compounds.,biotech
595,cellerant-therapeutics,Cellerant Therapeutics,Cellerant Therapeutics is a clinical-stage company developing innovative cell- and antibody-based immunotherapies.,biotech
596,everist-genomics,Everist Genomics,"Everist Health is a medicine company developing technologies focused on cancer, cardiovascular diseases and diabetes.",biotech
597,helicon-therapeutics,Helicon Therapeutics,Helicon Therapeutics discovers therapeutics to treat disorders of cognition through genetic basis of long-term memory formation.,biotech
598,aoptix-technologies,AOptix Technologies,AOptix Technologies develops identify verification and wireless communications solutions for the government and commercial markets.,biotech
599,pronova-solutions,ProNova Solutions,ProNova Solutions develops a proton therapy medical system for cancer treatment.,biotech
600,moximed,Moximed,Moximed improves the standard of care for patients with osteoarthritis and investigates therapies to treat affected joints.,biotech
601,american-gene-technologies-international,American Gene Technologies International,"AGT is pioneering gene therapy solutions to achieve permanent cures for human diseases, including a possible cure for HIV in clinical trials",biotech
602,gnubio,GnuBIO,GnuBIO is a developer of scalable DNA sequencing technology for the diagnostic and applied markets.,biotech
603,thermalin-diabetes,Thermalin Diabetes,"Thermalin offers insulins and delivery systems that transform the economic, treatment, and disease management paradigms for diabetes.",biotech
604,sera-prognostics,Sera Prognostics,"Sera Prognostics develops blood tests that are predictive of preterm birth, preeclampsia, and other pregnancy complications.",biotech
605,tosk,Tosk,"Tosk is a biopharmaceutical company dedicated to improving the safety of drugs for diseases such as cancer, arthritis, and psoriasis.",biotech
606,cardiaq,CardiAQ Valve Technologies,"CardiAQ Valve Technologies develops innovative approaches to heart valve replacement, focused on transcatheter mitral valve implantation.",biotech
607,zounds,Zounds,Zounds is an online retailer offering hearing aids and accessories for the hearing impaired.,biotech
608,apovax,ApoVax,ApoVax is a biotechnology company developing immunotherapies that regulate the immune system to fight disease.,biotech
609,novira-therapeutics,Novira Therapeutics,Novira Therapeutics is an antiviral drug discovery company discovering antiviral therapeutics to treat HBV and HIV infections.,biotech
610,centrose,centrose,Centrose is a biotechnology company engaged in the development and commercialization of therapeutics targeting disease related cells.,biotech
611,theranostics-health-llc,"Theranostics Health,LLC",Theranostics Health is a proteomics-based diagnostics company that provides research services for drug development companies.,biotech
612,salutaris-medical-devices,Salutaris Medical Devices,"SalutarisMD is a clinical-stage radiotherapeutic company with a treatment for various eye diseases, including anti-VEGF resistant wet-AMD.",biotech
613,terapio,Terapio,Terapio is a biopharmaceutical company developing therapeutics based on the RLIP76 protein.,biotech
614,aldea-pharmaceuticals,ALDEA Pharmaceuticals,ALDEA Pharmaceuticals develops small-molecule modulators of the ALDH family for the treatment of toxic aldehyde-related diseases.,biotech
615,braincells,BrainCells,BrainCells is a biotechnology startup focused on drugs intended to stimulate the growth of new neurons.,biotech
616,synthetic-genomics,Synthetic Genomics,Synthetic Genomics develops genomic-driven solutions to address global energy and environmental challenges.,biotech
617,gencia,Gencia,"Gencia, LLC operates as a biotechnology company. The company was founded in 2002 and is based in Charlottesville, Virginia.",biotech
618,ophthotech,Ophthotech,IVERIC bio is a biopharmaceutical company developing novel therapies for age-related macular degeneration.,biotech
619,cosmosid,CosmosID,CosmosID is a bioinformatics company focused on rapid identification of microorganisms in metagenomic samples.,biotech
620,primaeva-medical,Primaeva Medical,"Primaeva Medical is a venture capital funded company developing devices for dermatologists, plastic surgeons and other cosmetic physicians.",biotech
621,arta-bioscience,ARTA Bioscience,Prostate cancer therapeutics,biotech
622,radisphere-national-radiology-group,Radisphere Radiology,Radisphere Radiology provides cloud-based services that enable standards-based radiology across health systems.,biotech
623,osprey-pharmaceuticals-usa,Osprey Pharmaceuticals USA,Osprey Pharmaceuticals USA develops novel protein therapeutics for the treatment of inflammatory and immune diseases.,biotech
624,thar-pharmaceuticals,Thar Pharmaceuticals,"Thar Pharmaceuticals identifies and develops prescription drugs that solve clinical opportunities such as efficacy, absorption and safety.",biotech
625,itherx,iTherX,iTherX is a clinical stage pharmaceutical company focused on discovering and developing treatments for Hepatitis C.,biotech
626,aryx-therapeutics,ARYx Therapeutics,ARYx is a pharmaceutical company focused on retrometabolic drug designing and improving the safety of oral therapies for chronic diseases.,biotech
627,ctmg,CTMG,"CTMG provides clinical trial systems for private practice physicians by offering expertise, controlled systems, and personnel.",biotech
628,vestaron-corporation,Vestaron Corporation,"Vestaron produces insecticides for agriculture, animal health, non-crop, and commercial pest control applications.",biotech
629,gitr,GITR,GITR develops therapies to enhance the immune system by enabling T cells to be more effective in attacking cancer cells.,biotech
630,stemedica-cell-technologies,Stemedica Cell Technologies,Stemedica Cell Technologies is a clinical-stage biopharmaceutical company focused on the development and commercialization.,biotech
631,perosphere,Perosphere,Perosphere is a private specialty pharmaceutical company developing rescue medications.,biotech
632,profusa,Profusa,PROFUSA is a medical devices company creating tissue-integrated sensors for chronic disease management and healthy living.,biotech
633,oraya-therapeutics,Oraya Therapeutics,Oraya Therapeutics develops non-invasive robotically-controlled treatments for inflammatory and neovascular diseases of the eye.,biotech
634,clearside-biomedical,Clearside Biomedical,"Clearside BioMedical is an ophthalmic company that specializes in the research, development, and commercialization of therapeutic products.",biotech
635,mindframe-inc,Mindframe,MindFrame develops solutions that deliver rapid flow restoration and clot extraction for treating patients suffering from ischemic stroke.,biotech
636,cardiomind,CardioMind,CardioMind manufactures therapeutic devices for cardiovascular and neurological diseases.,biotech
637,chlorogen,Chlorogen,Chlorogen develops plant made drugs for the treatment and prevention of human diseases and women’s reproductive cancers.,biotech
638,aggamin-pharmaceuticals,Aggamin Pharmaceuticals,Aggamin Biologics is a biotechnology company developing biologic drugs for unmet medical needs.,biotech
639,palyon-medical,Palyon Medical,"Palyon Medical Corporation, a medical device company, develops technologies for the treatment of neurological diseases.",biotech
640,novan,Novan,Novan is a clinical-stage drug development company developing deliverable nitric oxide.,biotech
641,cell-biosciences,ProteinSimple,ProteinSimple is part of the Protein Platforms division of Bio-Techne (NASDAQ: TECH).,biotech
642,healthcare-corporation-of-america,Healthcare Corporation of America,Hospital Corporation of America (HCA) provides healthcare services in locally managed facilities in 20 states in the U.S. and England.,biotech
643,interna-technologies,InteRNA Technologies,InteRNA Technologies provides drug discovery and development services.,biotech
644,neuralstem,NeuralStem,"Neuralstem, a biotherapeutics company, aims to apply stem cell research and technology to treat diseases of the central nervous system.",biotech
645,global-blood-therapeutics,Global Blood Therapeutics,GBT is a clinical-stage biopharmaceutical company developing a therapy for sickle cell disease.,biotech
646,globalmedia-group,GlobalMedia Group,"GlobalMedia Group, a telemedicine company, engages in the R&D, design, engineering, manufacture, and support of hardware and software.",biotech
647,c8-medisensors,C8 MediSensors,C8 MediSensors develops non-invasive glucose monitoring products for diabetic patients.,biotech
648,anthera-pharmaceuticals,Anthera Pharmaceuticals,Anthera Pharmaceuticals is focused on developing products to treat diseases associated with inflammation and autoimmune diseases.,biotech
649,vibrynt,Vibrynt,Vibrynt operates in the medical device sector and offers a system designed to assist with weight loss by limiting food consumption.,biotech
650,imricor-medical-systems,IMRICOR MEDICAL SYSTEMS,Imricor Medical Systems develops magnetic resonance imaging compatible electrophysiology tools for the treatment of cardiac arrhythmias.,biotech
651,genapsys,Genapsys,"Transform the human condition by building a scalable, affordable genomic sequencing ecosystem that will support research and diagnostics",biotech
652,coapt-systems,Coapt Systems,Coapt Systems develops bio-absorbable implants for use in soft tissue fixation during facial cosmetic surgery procedures.,biotech
653,zonare-medical-systems,Zonare Medical Systems,Zonare Medical Systems develops compact ultrasound systems that are used for diagnostic imaging activities in clinical applications.,biotech
654,aiko-biotechnology,AIKO Biotechnology,AIKO Biotechnology,biotech
655,bio-intervention-specialists,Bio-Intervention Specialists,Bio-Intervention Specialists decreases the cost and incidence of healthcare-associated infections via its bio-intervention process.,biotech
656,pepex-biomedical,Pepex Biomedical,Pepex is a Biotechnology & Big Data Company,biotech
657,irx-therapeutics,IRX Therapeutics,IRX Therapeutics develops immune therapies designed to activate a patient’s immune system to defeat cancer and related diseases.,biotech
658,koronis-pharmaceuticals,Koronis Pharmaceuticals,Koronis Pharmaceuticals develops antiviral therapeutics based on a viral decay acceleration mechanism.,biotech
659,durafizz,DuraFizz,"DuraFizz develops proprietary, science-based solutions for food and beverage industry customers.",biotech
660,viroxis,ViroXis,"ViroXis, a bio-pharmaceutical company, develops botanical pharmaceuticals derived from sandalwood oil.",biotech
661,exogenesis,Exogenesis,"Exogenesis Corporation is engaged in developing and processing implantable vascular stents, orthopedic devices and other related products.",biotech
662,rosetta-genomics,Rosetta Genomics,"Rosetta Genomics discovers, develops and commercializes diagnostic tests for personalized medicine.",biotech
663,nano3d-biosciences,Nano3D Biosciences,Nano3D Biosciences develops products for in vitro cell culturing applications.,biotech
664,amgen,Amgen,Amgen is a biotechnology company that develops and manufactures human therapeutics for various illnesses and diseases.,biotech
665,halozyme-therapeutics,Halozyme Therapeutics,"Halozyme Therapeutics develops extracellular matrix targeting products for the insulin, cancer, dermatology and drug delivery markets.",biotech
666,precision-biologics,Precision Biologics,Precision Biologics develops therapeutic and diagnostic products for the early detection and treatment of cancer.,biotech
667,tyrosine-pharmaceuticals,Tyrosine Pharmaceuticals,"Zocere is a pharmaceutical company developing injectable, neuro-protectant drugs intended to combat stroke and other neurological trauma.",biotech
668,screen,Screen,Screen develops computer-directed neuropsychological tests for the early detection of mild cognitive impairment.,biotech
669,aires-pharmaceuticals,Aires Pharmaceuticals,Aires Pharmaceuticals is a clinical stage pharmaceutical company developing therapies to treat pulmonary disorders.,biotech
670,third-wave-technologies,Third Wave Technologies,Third Wave Technologies develops molecular diagnostic products for various DNA and RNA analysis applications.,biotech
671,lonestar-heart,Lonestar Heart,LoneStar Heart is a biomedical company developing new therapies to preserve and restore adequate functioning of a human heart.,biotech
672,nereus-pharmaceuticals,Nereus Pharmaceuticals,Nereus Pharmaceuticals engages in the discovery and development of therapeutics for the treatment of infectious diseases and inflammation.,biotech
673,revision-therapeutics,ReVision Therapeutics,"ReVision Therapeutics, a biopharmaceutical company, develops drugs for the treatment of age-related macular degeneration diseases.",biotech
674,srs-holdings,SRS Holdings,SRS Management provides support services to build cancer treatment centers.,biotech
675,dicerna-pharmaceuticals,Dicerna Pharmaceuticals,Dicerna Pharmaceuticals is a biotechnology company with a focus on the development of innovative treatments for rare inherited diseases.,biotech
676,vaxess-technologies,Vaxess Technologies,Vaxess Technologies engages in developing biomedical innovations with a focus on improving access to vaccines.,biotech
677,cardialen,CardiaLen,CardiaLen develops and commercializes pain-free cardioversion therapies for atrial fibrillation.,biotech
678,naviscan,Naviscan,Naviscan develops a high-resolution PET scanner that provides unprecedented visualization of small body parts.,biotech
679,radiorx,RadioRx,"RadioRx is a biotechnology company that discovers and develops compounds, sourced and adapted from the aerospace industry.",biotech
680,quark-pharmaceuticals,Quark Pharmaceuticals,Quark Pharmaceuticals is a clinical-stage pharmaceutical company engaged in the discovery and development of novel RNAi-based therapeutics.,biotech
681,prozyme,ProZyme,"ProZyme specializes in the development of value-added reagents, kits and platforms for improved analytical results.",biotech
682,cogenics,Cogenics,Cogenics provides genomics solutions for the healthcare and life sciences industries.,biotech
683,tvax-biomedical,TVAX Biomedical,TVAX Biomedical develops cell-based immunotherapy for the treatment of cancer.,biotech
684,igenica,Igenica,Igenica is a biopharmaceutical company developing antibody-based therapeutics for the treatment of cancer.,biotech
685,exosome-diagnostics,Exosome Diagnostics,Exosome Diagnostics develops and commercializes blood-based cancer molecular diagnostics for patient stratification and disease monitoring.,biotech
686,coms-interactive,COMS Interactive,"COMS Interactive, Daylight IQ Software as a Service (SaaS) Disease Care Management System.",biotech
687,kromatid,Kromatid,KromaTiD focuses on advancing the knowledge of genetic abnormalities and diseases by developing molecular cytogenetics assays and reagents.,biotech
688,sov-therapeutics,SOV Therapeutics,SOV Therapeutics is a clinical stage biotechnology company developing oral testosterone replacement therapies for adult men.,biotech
689,reviva-pharmaceuticals,Reviva Pharmaceuticals,Reviva Pharmaceuticals is a clinical-stage pharmaceutical company developing innovative therapies.,biotech
690,diobex,DiObex,DiObex develops novel products for the treatment of metabolic disorders.,biotech
691,reflow-medical,ReFlow Medical,ReFlow Medical is a company developing technologies for diseases related to arrangement of blood vessels.,biotech
692,invoy-technologies,Invoy Technologies,"Invoy provides personalized, predictive nutrition solutions to help individuals meet their health & wellness goals. ",biotech
693,hera-therapeutics,Hera Therapeutics,Antiva Biosciences is a biopharmaceutical company developing therapeutics for the treatment of diseases caused by HPV infection.,biotech
694,nkt-therapeutics,NKT Therapeutics,NKT Therapeutics is a privately held biotechnology company focused on developing therapeutics to treat cancer and other serious diseases.,biotech
695,bioconnect-systems,Bioconnect Systems,Bioconnect Systems offers novel surgical implants and techniques that form precisely controlled vascular connections.,biotech
696,threshold-pharmaceuticals,Threshold Pharmaceuticals,"Threshold Pharmaceuticals is focused on the development of drugs targeting Tumor Hypoxia, a low oxygen condition found in solid tumors.",biotech
697,niveus-medical,Niveus Medical,Niveus Medical develops technologies to keep key muscle groups strong during bed rest and supports faster patient recovery.,biotech
698,eneura-therapeutics,eNeura Therapeutics,ENeura Therapeutics is a medical technology company developing transcranial magnetic stimulation devices for the treatment of migraines.,biotech
699,verenium,Verenium,Verenium is an industrial biotechnology company specializing in the development of high performance enzymes.,biotech
700,setpoint-medical,SetPoint Medical,SetPoint Medical develops novel therapeutics for the treatment of chronic autoimmune conditions.,biotech
701,altheus-therapeutics,Altheus Therapeutics,Altheus Therapeutics develops Zoenasa oral tablets and Rectal gel formulations in treating bowel diseases.,biotech
702,kempharm,KemPharm,"KemPharm is a biopharmaceutical company focused on discovering and developing therapies for pain, ADHD, and other CNS diseases.",biotech
703,healthsense,Healthsense,"Healthsense is a provider of aging services technology, offering technology-enabled care solutions for the senior care continuum.",biotech
704,advanced-animal-diagnostics,Advanced Animal Diagnostics,Advanced Animal Diagnostics develops diagnostic products to cure on-farm animal diseases.,biotech
705,cytodyn,Cytodyn,CytoDyn is a biotechnology company that focuses on the development of new therapies to combat infections with immune deficiency viruses.,biotech
706,blaze-bioscience,Blaze Bioscience,Blaze Bioscience develops and commercializes products that assist surgeons to treat cancer patients.,biotech
707,cervilenz,Cervilenz,"CerviLenz offers a device capable of measuring the cervix length, thereby cutting the risk of preterm pregnancies.",biotech
708,coronado-biosciences,Coronado Biosciences,"Fortress Biotech is biopharmaceutical company focused on acquiring, developing, and commercializing drugs and drug candidates.",biotech
709,biodel,Biodel,Biodel is a biopharmaceutical company developing and commercializing therapeutics for the treatment of diabetes.,biotech
710,carepoint-partners,CarePoint Partners,CarePoint Partners is a home infusion and specialty pharmacy provider delivering innovative pharmacy solutions for the homecare patients.,biotech
711,thesan-pharmaceuticals,Thesan Pharmaceuticals,Thesan Pharmaceuticals is a preclinical biopharmaceutical company developing novel therapeutics for skin disorders.,biotech
712,trinity-biosystems,Trinity Biosystems,"Trinity Biosystems develops oral therapeutic proteins and vaccines for respiratory, digestive and sexually transmitted diseases.",biotech
713,solstice-neurosciences,Solstice Neurosciences,"Solstice Neurosciences is focused on the development, manufacturing, sales and marketing of specialty biopharmaceutical products.",biotech
714,proteopure,Proteopure,Proteopure offers protein isolation solutions for proteomic results in various contaminants.,biotech
715,accu-break-pharmaceuticals,Accu-Break Pharmaceuticals,Accu-Break develops pharmaceutical tablet technologies to create tablets that can be easily divided by hand into exact smaller doses.,biotech
716,stagemark,StageMark,StageMark develops and markets inflammatory diseases identification and monitoring solutions.,biotech
717,eyenetra,EyeNetra,EyeNetra is a developer of an eye diagnostics platform used to measure the correction of users' vision through smartphone-based technology.,biotech
718,hubble-telemedical,Hubble Telemedical,The Hubble Real-Time Retinal Exam service makes retinal eye screening more accessible and convenient to the healthcare consumer.,biotech
719,cara-therapeutics,Cara Therapeutics,Cara Therapeutics is a biotechnology company focused on developing therapeutics to treat diseases associated with pain and inflammation.,biotech
720,kythera-biopharmaceuticals,Kythera Biopharmaceuticals,"Kythera Biopharmaceuticals discovers, develops and commercializes novel prescription products for the aesthetic medicine market.",biotech
721,immunome,Immunome,"Immunome is a biotechnology company that specializes in immunotherapy, biotechnology, and antigen discovery.",biotech
722,neomend,Neomend,Neomend is a biomedical device company engaged in the development and commercialization of surgical wound healing products.,biotech
723,nodality,Nodality,Nodality develops biologically-informed clinical treatments for patients with cancer and autoimmune diseases.,biotech
724,united-orthopedic-group,UNITED ORTHOPEDIC GROUP,United Orthopedic Group provides an integrated approach to servicing the orthopedic brace and support market.,biotech
725,spectrum-pharmaceuticals,Spectrum Pharmaceuticals,Spectrum Pharmaceuticals is a biopharmaceutical company developing drugs to treat oncology and hematology.,biotech
726,benten-bioservices,Benten BioServices,Benten BioServices is a contract services organization focused on biological testing and biomanufacturing.,biotech
727,electronic-compliance-solutions,Electronic Compliance Solutions,Electronic Compliance Solutions offers a system that enhances the environment for patient safety and healthcare provider compliance.,biotech
728,sphynkx-therapeutics,SphynKx Therapeutics,SphynKx Therapeutics is a biotechnology company developing therapies for the treatment of diseases such as cancer and fibrosis.,biotech
729,geovax,GeoVax,GeoVax Labs develops vaccines that prevent and fight HIV infections that result in AIDS.,biotech
730,noble-biomaterials-inc,Noble Biomaterials,Noble is a producer of silver-based advanced material technologies designed for mission-critical applications.,biotech
731,carestream-health,Carestream,CareStream provides imaging and IT systems for sectors ranging from medical and life sciences research to advanced materials production.,biotech
732,homeland-holdco,Homeland Holdco,Homeland Holdco is a single-source benefit company operating in the healthcare sector.,biotech
733,aegerion-pharmaceuticals,Aegerion Pharmaceuticals,Aegerion Pharmaceuticals engages in the development of therapeutics and pharmaceuticals to treat cardiovascular and metabolic diseases.,biotech
734,adnexus,Adnexus,Adnexus Therapeutics engages in the development of Adnectins biologics and medicines in the United States.,biotech
735,bioenvision,Bioenvision,"Bioenvision engages in the acquisition, development and marketing of compounds and technologies primarily for the treatment of cancer.",biotech
736,gallus-biopharmaceuticals,Gallus BioPharmaceuticals,"Gallus Biopharmaceuticals, LLC, a contract manufacturer, supplies clinical and commercial bulk biologics to the biopharmaceutical industry",biotech
737,agios-pharmaceuticals,Agios Pharmaceuticals,Agios Pharmaceuticals is a biopharmaceutical company discovers and develops therapeutics in the field of cancer metabolism.,biotech
738,nanoink,NanoInk,NanoInk is specialized in nanometer-scale manufacturing and applications development for the life science and semiconductor industries.,biotech
739,bio-nems,BIO-NEMS,Bio-NEMS is a technology company leveraging proprietary innovations to enable DNA to be directly analyzed.,biotech
740,ikonopedia,Ikonopedia,Ikonopedia is a radiology reporting system to help in the diagnosis of breast diseases.,biotech
741,crescendo-bioscience,Crescendo Bioscience,Crescendo Bioscience develops diagnostic tools to provide rheumatologists with clinical insights to autoimmune and inflammatory disease.,biotech
742,bioregenerative-sciences,BioRegenerative Sciences,BioRegenerative Sciences is a provider of therapeutic products that rejuvenate the body to produce natural health and beauty.,biotech
743,chatham-therapeutics,Chatham Therapeutics,Chatham Therapeutics is engaged in the development of gene-based therapy technologies focused on hemophilia.,biotech
744,safepath-medical,SafePath Medical,SafePath Medical is a medical device start-up company specializing in the development of safe technologies for clinicians.,biotech
745,aria-diagnostics,Aria Diagnostics,Ariosa Diagnostics is a molecular diagnostics company focused on improving patient care.,biotech
746,healionics,Healionics,"Healionics has developed a novel vascular graft, based on a platform biomaterial, offering improved vascular access for dialysis patients.",biotech
747,aura-biosciences,Aura Biosciences,Aura Biosciences is a biotechnology company that focuses on the development of drugs by using tumor targeted pseudovirions.,biotech
748,autogenomics,AutoGenomics,AutoGenomics is a pioneer in developing the automated microarray based multiplexing molecular diagnostic platforms.,biotech
749,stembiosys,StemBioSys,StemBioSys develops proprietary stem cell technologies for the regenerative medicine market.,biotech
750,anaphore,Anaphore,Anaphore develops protein therapeutics that address unmet medical needs of patients with life-threatening diseases.,biotech
751,modulation-therapeutics,Modulation Therapeutics,Modulation Therapeutics is a pharmaceutical company developing novel compounds for the treatment of multiple myeloma.,biotech
752,alimera-sciences,Alimera Sciences,Alimera Sciences is a biopharmaceutical company.,biotech
753,sage-science,Sage Science,Sage Science is a biotechnology company developing lab instruments and consumables for life sciences research and diagnostic lab markets.,biotech
754,biopharma-manufacturing-solutions,BioPharma Manufacturing Solutions,"BioPharma Manufacturing Solutions offers technology transfer and scale-up, project management, process design, value engineering, and more.",biotech
755,retrophin,Retrophin,Travere discovers and develops drugs for the treatment of catastrophic diseases that are debilitating and often life-threatening.,biotech
756,complexa,Complexa,"Complexa, a biopharmaceutical company, develops therapies for the treatment of inflammatory, and metabolic diseases.",biotech
757,nutek-orthopaedics,Nutek Orthopaedics,Nutek Orthopaedics develops orthopaedic devices for medical practitioners worldwide.,biotech
758,antriabio,AntriaBio,Rezolute is a clinical-stage biopharma specializing in the development of drug therapies for patients with metabolic and orphan diseases.,biotech
759,advantagene,Advantagene,Candel Therapeutics develops cancer immunotherapies designed to improve the lives of cancer patients and their families.,biotech
760,globeimmune,GlobeImmune,GlobeImmune focused on developing products for the treatment of cancer and infectious diseases based on our proprietary Tarmogen® platform.,biotech
761,lyncean-technologies,Lyncean Technologies,Lyncean commercialized a paradigm shift in X-ray technology by shrinking the size/cost of a Synchrotron ($B particle accelerators) by 200x,biotech
762,minimus-spine,Minimus Spine,Minimus Spine develops ozone injection technology for spinal applications.,biotech
763,adamas-pharmaceuticals,Adamas Pharmaceuticals,Adamas Pharmaceuticals develops controlled release combination therapeutics for infectious diseases and central nervous system disorders.,biotech
764,andrew-technologies,Andrew Technologies,Andrew Technologies is a medical technology company.,biotech
765,genelux,Genelux,"Genelux, a clinical-stage biopharmaceutical company, develops diagnostic and therapeutic solutions for cancer and inflammatory diseases.",biotech
766,prismic-pharmaceuticals,Prismic Pharmaceuticals,Prismic Pharmaceuticals is focused on developing novel prescription medical drugs for the treatment of inflammatory diseases.,biotech
767,cardioxyl-pharmaceuticals,Cardioxyl Pharmaceuticals,"Cardioxyl Pharmaceuticals discovers, develops and commercializes therapies for the treatment of cardiovascular disease.",biotech
768,cmd-bioscience,CMD Bioscience,"CMD Bioscience develops molecular software applications for pharmaceutical, biotech and life sciences companies.",biotech
769,lightspeed-genomics,Lightspeed Genomics,LightSpeed Genomics develops a DNA sequencing platform that will allow human genome sequencing.,biotech
770,pacific-biosciences,Pacific Biosciences,"PacBio designs, develops, and manufactures sequencing systems.",biotech
771,chartwise-medical-systems,ChartWise Medical Systems,ChartWise Medical Systems develops software for diagnostic and clinical documentation operations.,biotech
772,fluoropharma,FluoroPharma,"FluoroPharma develops molecular imaging agents for positron emission tomography, enabling detection and assessment of pathology.",biotech
773,precipio-diagnostics,Precipio Diagnostics,"Precipio Diagnostics is a cancer diagnostics reference laboratory delivering advanced diagnostics, advice and personalized medicine.",biotech
774,eternogen,EternoGen,EternoGen is a medical biotech company designing and manufacturing collagen scaffolds for soft tissue therapeutic applications.,biotech
775,tonix-pharmaceuticals-holding,Tonix Pharmaceuticals Holding,Tonix Pharmaceuticals develops pharmaceutical products for central nervous system disorders.,biotech
776,healthsmart-holdings,HealthSmart Holdings,HealthSmart Holdings is a health solution provider helping companies provide medical services to their employees.,biotech
777,magellan-bioscience-group,Magellan Bioscience Group,Magellan BioScience Group identifies lead candidates derived from microorganisms for the development of new chemical entities.,biotech
778,renamed-biologics,RenaMed Biologics,RenaMed Biologics engages in the development of therapies for the treatment of diseases associated with compromised kidney function.,biotech
779,brain-tunnelgenix-technologies,Brain Tunnelgenix Technologies,Brain Tunnelgenix Technologies produces non-invasive and continuous temperature measurement devices.,biotech
780,pernix-therapeutics-inc,Pernix Therapeutics,Pernix Therapeutics develops and markets branded and generic pharmaceutical products for the pediatric market.,biotech
781,biscayne-pharmaceuticals,Biscayne Pharmaceuticals,Biscayne Pharmaceuticals discovers and develops novel therapies based on growth hormone-releasing hormone (GHRH) analogs.,biotech
782,diatech-oncology,DiaTech Oncology,Pierian Biosciences is a life sciences company.,biotech
783,trevena,Trevena,Trevena is a clinical stage biopharmaceutical company discovering and developing G-protein coupled receptors (GPCR) biased ligands.,biotech
784,triage-wireless,Triage Wireless,,biotech
785,neurocrine-biosciences,Neurocrine Biosciences,Neurocrine Biosciences engages in the discovery and development of drugs for the treatment of neurological and endocrine-related diseases.,biotech
786,lineagen,Lineagen,"Lineagen provides genetic evaluation services in autism, developmental delay, and other genetic disorders.",biotech
